0, None, None, , ['init'], , None, , , None, None, , , , , , ['init'], init
1, None, None, , ['init'], , None, , , None, None, , , , , , ["I don't know"], init
2, None, None, , ['fetch'], , None, , , None, None, , , , , , ['fetch'], test_healthcheck
3, None, None, , ['equals'], , None, , , None, None, , , , , , ['equals'], eq
4, None, None, , ['open'], , None, , , None, None, , , , , , ["I don't know"], flopen
5, None, None, , ['test'], , None, , , None, None, , , , , , ["I don't know"], test_nonvariableinputarg
6, None, None, , ['switchtobodymode'], , None, , , None, None, , , , , , ['switchtobodymode'], test_switchtobodymode
7, None, None, , ['init'], , None, , , None, None, , , , , , ['init'], init
8, None, None, , ['init'], , None, , , None, None, , , , , , ['init'], init
9, None, None, , ['get'], , None, , , None, None, , , , , , ['get'], get
10, None, None, , ['render_template'], , None, , , None, None, , , , , , ["I don't know"], create
11, None, None, , ['close'], , None, , , None, None, , , , , , ['close'], close
12, None, None, , ['print'], , None, , , None, None, , , , , , ['create'], create
13, None, None, , ['init'], , None, , , None, None, , , , , , ["I don't know"], init
14, None, None, , ['add'], , None, , , None, None, , , , , , ["I don't know"], add
15, None, None, , ['rollback'], , None, , , None, None, , , , , , ["I don't know"], exit
16, None, None, , ['get_context_data'], , None, , , None, None, , , , , , ['get_context_data'], get_context_data
17, None, None, , ['update'], , None, , , None, None, , , , , , ['update'], init
18, None, None, , ['write'], , None, , , None, None, , , , , , ["I don't know"], init
19, None, None, , ['open'], , None, , , None, None, , , , , , ["I don't know"], init
20, None, None, , ['init'], , None, , , None, None, , , , , , ['init'], init
21, None, None, , ['read'], , None, , , None, None, , , , , , ['read'], read
22, None, None, , ['init'], , None, , , None, None, , , , , , ["I don't know"], init
23, None, None, , ['save'], , None, , , None, None, , , , , , ['save'], save
24, None, None, , ['init'], , None, , , None, None, , , , , , ["I don't know"], init
25, None, None, , ['validate'], , None, , , None, None, , , , , , ["I don't know"], init
26, None, None, , ['converts'], , None, , , None, None, , , , , , ['converts'], init
27, None, None, , ['print'], , None, , , None, None, , , , , , ["I don't know"], init
28, None, None, , ['getattr'], , None, , , None, None, , , , , , ["I don't know"], proxyval
29, None, None, , ['init'], , None, , , None, None, , , , , , ["I don't know"], init
30, None, None, , ['tryimport'], , None, , , None, None, , , , , , ['import'], tryimport
